Scheme;Description
MNREGA; The vision of Mahatma Gandhi NREGA is to enhance the livelihood security of rural households across the country by providing at least 100 days of guaranteed wage employment in a financial year to every rural household whose adult members volunteer to do unskilled manual work. Mahatma Gandhi NREGA recognizes the importance of strengthening the livelihood resource base of the poor by reaching the most vulnerable sections of rural areas, including Scheduled Castes, Scheduled Tribes, women-headed households, and other marginalized groups. The scheme encourages a sense of community and collective responsibility by strengthening Panchayat Raj institutions. Mahatma Gandhi NREGA promotes a bottom-up approach to planning and execution, empowering local communities to take charge of their development. Through the creation of productive assets of prescribed quality and durability, the scheme addresses immediate economic needs while laying the foundation for long-term prosperity. Mahatma Gandhi NREGA prioritizes sustainable development and environmental stewardship, striving to create a greener, more sustainable future for generations to come by prioritizing works that contribute to ecological conservation and rural infrastructure development. Central to the scheme's vision is a commitment to transparency and accountability, ensuring that funds are utilized efficiently and beneficiaries' rights are upheld through mechanisms such as social audits, grievance redressal, and proactive public disclosure.

AGNIPATH SCHEME; The Agnipath Scheme is designed to offer Indian youth an opportunity to serve in the Armed Forces for a period of four years, creating a youthful and dynamic profile within the military. Individuals recruited through this scheme, known as Agniveers, serve under distinct terms and are governed by the Armed Forces Acts, fostering a spirit of patriotism and commitment. The scheme seeks to reach youth from all regions of India, utilizing online exams, specialized recruitment rallies, and campus interviews at technical institutions like ITIs and NSQF-certified centers to ensure a broad, inclusive selection process.Agniveers are empowered through rigorous training and experience, equipping them with valuable skills applicable both in military and civilian life. Upon completion of their four-year term, Agniveers return to society with a certificate that recognizes their skills, providing them an edge in future endeavors. A select 25% of Agniveers demonstrating exceptional performance may be offered the opportunity to re-enlist in the Armed Forces in a regular capacity, subject to organizational needs.Central to Agnipath’s vision is a commitment to meritocracy, transparency, and skill development, ensuring the effective utilization of talent. Agnipath reinforces the values of service, unity, and discipline, contributing to both national security and individual growth by building a pool of motivated, skilled youth ready to support and contribute to society after their military tenure.

AYUSHMAN BHARAT YOJANA; Ayushman Bharat is an attempt to move from sectoral and segmented approach of health service delivery to a comprehensive need-based health care service. This scheme aims to undertake path breaking interventions to holistically address the healthcare system (covering prevention, promotion and ambulatory care) at the primary, secondary and tertiary level. Ayushman Bharat adopts a continuum of care approach, comprising of two inter-related components, which are - Health and Wellness Centres (HWCs), Pradhan Mantri Jan Arogya Yojana (PM-JAY). Health and Wellness Centers are envisaged to deliver an expanded range of services to address the primary health care needs of the entire population in their area, expanding access, universality and equity close to the community. The emphasis of health promotion and prevention is designed to bring focus on keeping people healthy by engaging and empowering individuals and communities to choose healthy behaviours and make changes that reduce the risk of developing chronic diseases and morbidities. Ayushman Bharat PM-JAY is the largest health assurance scheme in the world which aims at providing a health cover of Rs. 5 lakhs per family per year for secondary and tertiary care hospitalization to over 12 crores poor and vulnerable families (approximately 55 crore beneficiaries) that form the bottom 40% of the Indian population. The households included are based on the deprivation and occupational criteria of Socio-Economic Caste Census 2011 (SECC 2011) for rural and urban areas respectively. PM-JAY was earlier known as the National Health Protection Scheme (NHPS) before being rechristened. It subsumed the then existing Rashtriya Swasthya Bima Yojana (RSBY) which had been launched in 2008. PM-JAY is fully funded by the Government and cost of implementation is shared between the Central and State Governments.

PM UJJWALA YOJANA; ‘Pradhan Mantri Ujjwala Yojana’ (PMUY) as a flagship scheme with an objective to make clean cooking fuel such as LPG available to the rural and deprived households which were otherwise using traditional cooking fuels such as firewood, coal, cow-dung cakes etc. Usage of traditional cooking fuels had detrimental impacts on the health of rural women as well as on the environment. The unclean cooking fuel causes deaths which are mostly due to non-communicable diseases including heart disease, stroke, chronic obstructive pulmonary disease, and lung cancer. Providing LPG connections to families below the poverty line ensures universal coverage of cooking gas in the country. The target under the scheme was to release 8 Crore LPG Connections to the deprived households by March 2020.The scheme can be a tool for women empowerment in that LPG connections and clean cooking fuel can reduce cooking time and effort.The scheme also employs the rural youth in the supply chain of cooking gas. The use of unclean cooking fuel is harmful to human health. To minimize health issues arising from the use of unclean fossil fuel and other fuel while cooking.To control indoor pollution from the use of fossil fuel which causes respiratory issues.To prevent degradation of the purity of the environment that is compromised by widespread usage of unclean cooking fuel. Apply the application form through online official website.

PM FASAL BIMA YOJANA; The Pradhan Mantri fasal bima yojana (PMFBY)  is an insurance service for farmers for their yields  aims to provide a comprehensive insurance cover against failure of the crop thus helping in stabilising the income of the farmers, Stabilizing the income of farmers to ensure their continuance in farming,Encouraging farmers to adopt innovative and modern agricultural practices The scheme covers all Food & Oilseeds crops and Annual Commercial/Horticultural Crops for which past yield data is available and for which requisite number of crop cutting experiments are being conducted under General Crop Estimation Survey. The scheme is implemented by empanelled general insurance companies. Selection of Implementing Agency is done by the concerned State Government through bidding. The scheme was earlier compulsory for loanee farmers availing crop loan /KCC[clarification needed] account for notified crops and voluntary for other others, but has been made voluntary since 2020 when reforms in the scheme were introduced.[2] The scheme is being administered by Ministry of Agriculture and Farmers Welfare. All the farmers growing notified crops in a notified area during the season who have insurable in the crop are eligible.Voluntary coverage: From 2020 Kharif onwards the enrollment is made 100% voluntary. Coverage of crops:Oil seeds,Food crop,Annual Commercial / Annual Horticultural crops.In addition for perennial crops, pilots for coverage can be taken for those perennial horticultural crops for which standard methodology for yield estimation is available. The benefits of this scheme are mentioned as under: Comprehensive insurance coverage for Kharif and Rabi crops.Add on the coverage available for specific circumstances.Optional for farmers, both loanee and non-loanee.Stability in the income of farmers so that they can continue farming. Applicant farmers have to visit the official portal.  In case of crop loss, farmers are required to file a claim with the insurance company within the prescribed time frame, which is generally within 72 hours of the occurrence of the loss. List of concerned person/company details on the portal and click in "Report Crop Loss" or download the app and report crop loss.

