Scheme;Description;Writeup_1;Writeup_2;Writeup_3
MNREGA; The vision of Mahatma Gandhi NREGA is to enhance the livelihood security of rural households across the country by providing at least 100 days of guaranteed wage employment in a financial year to every rural household whose adult members volunteer to do unskilled manual work. Mahatma Gandhi NREGA recognizes the importance of strengthening the livelihood resource base of the poor by reaching the most vulnerable sections of rural areas, including Scheduled Castes, Scheduled Tribes, women-headed households, and other marginalized groups. The scheme encourages a sense of community and collective responsibility by strengthening Panchayat Raj institutions. Mahatma Gandhi NREGA promotes a bottom-up approach to planning and execution, empowering local communities to take charge of their development. Through the creation of productive assets of prescribed quality and durability, the scheme addresses immediate economic needs while laying the foundation for long-term prosperity. Mahatma Gandhi NREGA prioritizes sustainable development and environmental stewardship, striving to create a greener, more sustainable future for generations to come by prioritizing works that contribute to ecological conservation and rural infrastructure development. Central to the scheme's vision is a commitment to transparency and accountability, ensuring that funds are utilized efficiently and beneficiaries' rights are upheld through mechanisms such as social audits, grievance redressal, and proactive public disclosure.;"Raju, a rural resident, likely faces financial hardship and needs work. He can benefit from MNREGA by volunteering for unskilled manual labor, guaranteeing him 100 days of paid employment. 
";"Raju can apply for MNREGA by contacting his local Gram Panchayat or visiting the official website. If he is approved, he will be guaranteed 100 days of unskilled manual work at a minimum wage, providing him with income and contributing to rural development. 
";"Raju, being eligible for MNREGA, can volunteer for unskilled manual work and receive guaranteed wages for up to 100 days a year. This ensures a stable income, improving his livelihood security and potentially lifting him out of poverty. 
"
AGNIPATH SCHEME; The Agnipath Scheme is designed to offer Indian youth an opportunity to serve in the Armed Forces for a period of four years, creating a youthful and dynamic profile within the military. Individuals recruited through this scheme, known as Agniveers, serve under distinct terms and are governed by the Armed Forces Acts, fostering a spirit of patriotism and commitment. The scheme seeks to reach youth from all regions of India, utilizing online exams, specialized recruitment rallies, and campus interviews at technical institutions like ITIs and NSQF-certified centers to ensure a broad, inclusive selection process.Agniveers are empowered through rigorous training and experience, equipping them with valuable skills applicable both in military and civilian life. Upon completion of their four-year term, Agniveers return to society with a certificate that recognizes their skills, providing them an edge in future endeavors. A select 25% of Agniveers demonstrating exceptional performance may be offered the opportunity to re-enlist in the Armed Forces in a regular capacity, subject to organizational needs.Central to Agnipath’s vision is a commitment to meritocracy, transparency, and skill development, ensuring the effective utilization of talent. Agnipath reinforces the values of service, unity, and discipline, contributing to both national security and individual growth by building a pool of motivated, skilled youth ready to support and contribute to society after their military tenure.;"Raju, if eligible for Agnipath, is a young Indian looking for a chance to serve his country. He might be facing unemployment or lack of opportunities and seeks a structured path to gain valuable skills and a future career. 
";"Raju can apply for the Agnipath scheme online, through recruitment rallies, or at technical institutes. He'll be tested and if selected, will receive training and four years of service. Upon completion, he'll receive a certificate recognizing his skills. He could also be selected for permanent service. 
";"Raju can apply for the Agnipath scheme, which offers a four-year stint in the armed forces. This will provide him with rigorous training and valuable skills, making him more employable after his service. He'll also gain a certificate recognizing his skills, along with a sense of patriotism and discipline.  If he performs exceptionally, he may even get a chance to continue serving in the armed forces permanently. 
"
Ayushman Bharat Yojana; Ayushman Bharat is an attempt to move from sectoral and segmented approach of health service delivery to a comprehensive need-based health care service. This scheme aims to undertake path breaking interventions to holistically address the healthcare system (covering prevention, promotion and ambulatory care) at the primary, secondary and tertiary level. Ayushman Bharat adopts a continuum of care approach, comprising of two inter-related components, which are - Health and Wellness Centres (HWCs), Pradhan Mantri Jan Arogya Yojana (PM-JAY). Health and Wellness Centers are envisaged to deliver an expanded range of services to address the primary health care needs of the entire population in their area, expanding access, universality and equity close to the community. The emphasis of health promotion and prevention is designed to bring focus on keeping people healthy by engaging and empowering individuals and communities to choose healthy behaviours and make changes that reduce the risk of developing chronic diseases and morbidities. Ayushman Bharat PM-JAY is the largest health assurance scheme in the world which aims at providing a health cover of Rs. 5 lakhs per family per year for secondary and tertiary care hospitalization to over 12 crores poor and vulnerable families (approximately 55 crore beneficiaries) that form the bottom 40% of the Indian population. The households included are based on the deprivation and occupational criteria of Socio-Economic Caste Census 2011 (SECC 2011) for rural and urban areas respectively. PM-JAY was earlier known as the National Health Protection Scheme (NHPS) before being rechristened. It subsumed the then existing Rashtriya Swasthya Bima Yojana (RSBY) which had been launched in 2008. PM-JAY is fully funded by the Government and cost of implementation is shared between the Central and State Governments.;"Raju, being a member of the bottom 40% of the Indian population, is eligible for the Ayushman Bharat scheme. This means he likely faces financial barriers to accessing healthcare, potentially suffering from illnesses that require costly secondary or tertiary care. 
";"Raju doesn't need to apply. He automatically qualifies based on his socioeconomic status. He receives free health insurance covering up to Rs. 5 lakhs per year for secondary and tertiary hospitalizations. 
";"Raju, being eligible for Ayushman Bharat PM-JAY, can access free healthcare services for secondary and tertiary care hospitalization up to Rs. 5 lakhs per year.  This scheme aims to improve access to quality healthcare, reduce financial burden for treatment, and ultimately improve the overall well-being of beneficiaries like Raju. 
"
PM Ujjwala Yojana; ‘Pradhan Mantri Ujjwala Yojana’ (PMUY) as a flagship scheme with an objective to make clean cooking fuel such as LPG available to the rural and deprived households which were otherwise using traditional cooking fuels such as firewood, coal, cow-dung cakes etc. Usage of traditional cooking fuels had detrimental impacts on the health of rural women as well as on the environment. The unclean cooking fuel causes deaths which are mostly due to non-communicable diseases including heart disease, stroke, chronic obstructive pulmonary disease, and lung cancer. Providing LPG connections to families below the poverty line ensures universal coverage of cooking gas in the country. The target under the scheme was to release 8 Crore LPG Connections to the deprived households by March 2020.The scheme can be a tool for women empowerment in that LPG connections and clean cooking fuel can reduce cooking time and effort.The scheme also employs the rural youth in the supply chain of cooking gas. The use of unclean cooking fuel is harmful to human health. To minimize health issues arising from the use of unclean fossil fuel and other fuel while cooking.To control indoor pollution from the use of fossil fuel which causes respiratory issues.To prevent degradation of the purity of the environment that is compromised by widespread usage of unclean cooking fuel. Apply the application form through online official website.;"Raju, living in a rural household, likely relies on traditional fuels like firewood for cooking. This exposes him and his family to harmful smoke, increasing the risk of respiratory illnesses. He can apply for PM Ujjwala Yojana online to receive an LPG connection, providing cleaner fuel and reducing health risks. 
";"Raju can apply for PM Ujjwala Yojana online to get a free LPG connection. This will provide him with clean cooking fuel, reducing health risks from using traditional fuels like firewood. He'll also be contributing to a cleaner environment and women empowerment by reducing cooking time and effort for families. 
";"Raju can apply for the PM Ujjwala Yojana online. This scheme will provide him with an LPG connection, which will replace his use of harmful traditional fuels. This will improve his family's health by reducing indoor pollution and the risk of respiratory illnesses.  It will also save time and effort for his family, especially women, who traditionally do most of the cooking. 
"
PM Fasal Bima Yojana;" The Pradhan Mantri fasal bima yojana (PMFBY)  is an insurance service for farmers for their yields  aims to provide a comprehensive insurance cover against failure of the crop thus helping in stabilising the income of the farmers, Stabilizing the income of farmers to ensure their continuance in farming,Encouraging farmers to adopt innovative and modern agricultural practices The scheme covers all Food & Oilseeds crops and Annual Commercial/Horticultural Crops for which past yield data is available and for which requisite number of crop cutting experiments are being conducted under General Crop Estimation Survey. The scheme is implemented by empanelled general insurance companies. Selection of Implementing Agency is done by the concerned State Government through bidding. The scheme was earlier compulsory for loanee farmers availing crop loan /KCC[clarification needed] account for notified crops and voluntary for other others, but has been made voluntary since 2020 when reforms in the scheme were introduced.[2] The scheme is being administered by Ministry of Agriculture and Farmers Welfare. All the farmers growing notified crops in a notified area during the season who have insurable in the crop are eligible.Voluntary coverage: From 2020 Kharif onwards the enrollment is made 100% voluntary. Coverage of crops:Oil seeds,Food crop,Annual Commercial / Annual Horticultural crops.In addition for perennial crops, pilots for coverage can be taken for those perennial horticultural crops for which standard methodology for yield estimation is available. The benefits of this scheme are mentioned as under: Comprehensive insurance coverage for Kharif and Rabi crops.Add on the coverage available for specific circumstances.Optional for farmers, both loanee and non-loanee.Stability in the income of farmers so that they can continue farming. Applicant farmers have to visit the official portal.  In case of crop loss, farmers are required to file a claim with the insurance company within the prescribed time frame, which is generally within 72 hours of the occurrence of the loss. List of concerned person/company details on the portal and click in ""Report Crop Loss"" or download the app and report crop loss.";"Raju, a farmer, is eligible for the PM Fasal Bima Yojana.  He can voluntarily enroll in the scheme and receive insurance coverage for his crops.  However, if he experiences crop loss, he needs to report it promptly to the insurance company within 72 hours to receive compensation. 
";"Raju can apply for PM Fasal Bima Yojana online through the official portal. He needs to provide details about his crop and location. If his crop suffers damage, he must report it to the insurance company within 72 hours. Upon successful application, Raju receives comprehensive insurance coverage for his crops, ensuring income stability and helping him continue farming.
";"Raju, as an eligible farmer, can voluntarily enroll in PM Fasal Bima Yojana. This insurance protects him against crop failure, stabilizing his income and allowing him to continue farming. If he faces crop loss, he needs to file a claim with the insurance company within 72 hours. This scheme ensures financial security for Raju, allowing him to confidently invest in farming practices and weather unforeseen events. 
"
Standup India; Loans for scheduled castes, scheduled tribes and women entrepreneurs for greenfield enterprises. Loans can be applied online. launched by the Government of India in 2016 to promote entrepreneurship and facilitate bank loans to Scheduled Caste (SC) / Scheduled Tribe (ST) and women entrepreneurs in the country. The scheme aims to provide loans between Rs.10 lakhs and Rs.1 crore for setting up a greenfield enterprise in manufacturing, trading or services sector. A scheme by Ministry of Finance for financing SC/ST and/or Women Entrepreneurs by facilitating bank loans for setting up a greenfield project  enterprise in manufacturing, services, trading sector and activities allied to agriculture. The objective of this scheme is to facilitate bank loans between Rs. 10 lakh and Rs. 1 Crore to at least one Scheduled Caste (SC) or Scheduled Tribe (ST) borrower and at least one woman borrower per bank branch for setting up a greenfield enterprise. In case of non-individual enterprises, at least 51% of the shareholding and controlling stake should be held by either an SC/ST or Woman Entrepreneur. Facilitation of composite loan (inclusive of term loan and working capital) between ₹10 Lakhs and ₹100 Lakhs. Rupay debit card to be issued for convenience of the borrower.The web portal by SIDBI provides hand-holding support through a network of agencies engaged in training, skill development, mentoring, project report preparation, application filling, work shed / utility support services, subsidy schemes etc.;"Raju, being a member of a Scheduled Caste or Tribe, is eligible for the Standup India scheme.  However, he must navigate potential challenges like securing the necessary loan amount, finding suitable business opportunities, and accessing support services like training and mentorship. 
";"Raju, being eligible for Standup India, needs to apply online for a loan of ₹10 Lakhs to ₹1 Crore for his greenfield enterprise in manufacturing, trading or services.  The scheme provides a composite loan, a Rupay debit card for convenience, and hand-holding support through agencies for training, project report preparation, and more. 
";"Raju, being eligible for the Standup India scheme, can apply online for a loan between Rs. 10 lakhs and Rs. 1 crore to set up a new business in manufacturing, trading, or services. The scheme aims to empower entrepreneurs like Raju by providing financial support, training, and mentorship, ultimately helping him establish a successful business and improve his financial standing. 
"
PM Awaas Yojana; A beneficiary family under the Mission comprises of husband, wife, unmarried sons and/or unmarried daughters. The beneficiary family should not own a pucca house (an all-weather dwelling unit) either in his/her name or in the name of any member of his/her family in any part of India. An adult earning member (irrespective of marital status) is treated as a separate household .It makes home loans affordable for the urban poor by providing a subsidy on the Interest Rate of a home loan during repayment by way of EMI (Equated Monthly Installments).The Mission addresses urban housing shortage among the EWS/LIG and MIG categories including the slum dwellers.Economically Weaker Section (EWS) - with a maximum annual family income of Rs. 3,00,000.Low Income Group (LIG) - with maximum annual family income of Rs. 6,00,000) andMiddle Income Groups (MIG I & II) - with a maximum annual family income of Rs. 18,00,000)A beneficiary family will comprise husband, wife, unmarried sons and/or unmarried daughters.Four Verticals of PMAY-U are , Affordable Housing through Credit Linked Subsidy (CLSS),Affordable Housing Through Partnership (AHP), Beneficiary-led individual house construction (BLC): The Mission promotes Woman Empowerment by providing the ownership of houses in the name of a female member or in joint names.Preference is also given to women (with overriding preference to widows, single women), persons belonging to Scheduled Castes/Scheduled Tribes/Other Backward Classes, Minorities, Persons with disabilities and Transgender.;"Raju likely belongs to the Economically Weaker Section (EWS) or Low Income Group (LIG) and is facing the challenge of not owning a proper house. He may be living in a slum or inadequate housing, lacking security and comfort. This scheme aims to help him secure affordable home ownership. 
";"Raju, if you are an adult earning member without a pucca house and your family income is below Rs. 18 lakh, you can apply for PM Awaas Yojana.  You'll need to provide details about your family, income, and housing situation. If approved, you'll get a subsidy on your home loan interest rate, making owning a house more affordable.  
";"Raju, to benefit from PM Awaas Yojana, must be a member of a family without a pucca house and have an annual income below ₹18 lakh.  He may qualify for a subsidized home loan, making homeownership more attainable and improving his family's living conditions. 
"
Sukanya Samriddhi Account Scheme; Government of India backed saving scheme targeted at the parents of girl children. The scheme encourages parents to build a fund for the future education of their female child.[1][2]The scheme was launched by Prime Minister Narendra Modi on 22 January 2015 as a part of the Beti Bachao, Beti Padhao campaign. The scheme currently provides an interest rate of 8.2%[3] (For Jan -Mar 2024 quarter) and tax benefits. The account can be opened at any India Post office or branch of authorized commercial banks. The minimum deposit is ₹250, and the maximum is ₹1.5 lakh per financial year.The girl can operate her account after she reaches the age of 10. The account allows 50% withdrawal at the age of 18 for higher education purposes. The interest earned in the account is tax-free, and the deposit qualifies for a deduction under Section 80-C of the Income Tax Acy.The account reaches maturity after time period of 21 years from date of opening it. Deposits in the account can be made till the completion of 15 years, from the date of the opening of the account. After this period the account will earn only applicable rate of interest. If the account is closed, then it will not earn interest at the prevailing rate.[10] If the girl is over 18 and married, normal closure is allowed.The Account may be transferred anywhere in India and from or to post offices and from or to Banks and between post office and Bank, free of cost on furnishing of proof of shifting of residence of either the guardian or the Account holder.;"Raju is the guardian of a girl child and is eligible for the Sukanya Samriddhi Account Scheme. He can open an account to save for her future education. This scheme offers tax benefits and a high interest rate, but Raju must ensure he makes regular deposits to maximize the benefits for his daughter. 
";"Raju can open a Sukanya Samriddhi Account for his daughter at any India Post office or authorized bank branch. He needs to provide proof of his daughter's birth and his own identification. The account earns a tax-free interest rate of 8.2% and allows tax deductions. 
";"Raju can open a Sukanya Samriddhi Account for his daughter,  saving for her future education. This government-backed scheme offers tax benefits and high interest, helping her pursue her dreams. 
"
PM Jan Dhan Yojana; is a financial inclusion program of the Government of India open to Indian citizens (minors of age 10 and older can also open an account with a guardian to manage it), that aims to expand affordable access to financial services such as bank accounts, remittances, credit, insurance and pensions. PMJDY provides universal banking services for every unbanked household, based on the guiding principles of banking the unbanked, securing the unsecured, funding the unfunded and serving unserved and underserved areas.Anyone can open a basic savings bank deposit (BSBD) account at any bank branch or Business Correspondent (Bank Mitra) outlet .Accounts can be opened with zero balance .The BSBD account does not require any minimum balance maintenance .Account holders can deposit and withdraw cash at bank branches, ATMs, and Banking Correspondents (BCs) .Cash withdrawals are limited to four times a month .The scheme aims to provide financial literacy programs at the village level. •  The applicant should be an Indian National. If minors above ten years apply, they will require support from their legal guardians for administering their PMJDY account. Go to the official portal of PMJDY to apply.;"Raju, an Indian citizen, likely lacks access to basic financial services like a bank account. This scheme aims to provide him with a zero-balance bank account, allowing him to deposit and withdraw money, access credit, and even receive financial literacy training.  
";"Raju, being an Indian national, can visit the official PMJDY portal to apply. He'll need to provide personal details and, if he's under 18, his guardian's information. Upon successful application, Raju will receive a zero-balance bank account with access to financial services like deposits, withdrawals, remittances, credit, insurance, and pensions. 
";"Raju, being an Indian national, can open a zero-balance bank account under PMJDY. This will provide him access to financial services like deposits, withdrawals, and even loans, helping him manage his money, save for the future, and access vital services he may have lacked before. 
"
Pradhan Mantri Gram Sadak Yojana (PMGSY); With the objective of providing rural connectivity, the Government of India launched the Pradhan Mantri Gram Sadak Yojana (referred to as PMGSY-I hereinafter) on 25th December 2000 to provide all-weather access to eligible unconnected habitations with a population of up to 500(Census 2001) in plain area and 250 and above in Special category States(States of North East, Jammu, and Kashmir, Himachal Pradesh, Uttarakhand), Desert Area as identified by Desert Development Program and 88 selected Backward Districts as identified by the Ministry of Home Affairs/Planning Commission as a strategy for poverty alleviation. Some prominent features of PMGSY are-Proper decentralized planning for the building of roads,Build roads according to the Indian Road Congress and Rural Roads Manual,3-tier quality management system,An unbroken flow of funds. The benefits of the Pradhan Mantri Gram Sadak Yojana (PMGSY) are -All-weather connection to the hamlets that are least or not connected, Overall Development of the country allows for easy movement of goods and vehicles, better employment opportunities for those from villages thanks to road connections. The list of road works to be taken up under the Programme will be finalized each year by the District Panchayat in accordance with the allocation of funds communicated to the district. The District Panchayat has to ensure along with the consultative process, that the lists of proposed road works are part of the Core Network and that new connectivity is given priority.;"Raju lives in a rural area and his village lacks proper road access, making it difficult to transport goods and access essential services. He likely benefits from the PMGSY scheme, which aims to connect his village with all-weather roads, improving his quality of life and economic opportunities. 
";"Raju needs to contact the District Panchayat to find out about the specific requirements for applying for the Pradhan Mantri Gram Sadak Yojana. The scheme provides all-weather road access to his village, helping improve connectivity and job opportunities. 
";"Raju, living in a village with a population under 500, could benefit from PMGSY. This scheme aims to provide all-weather roads connecting his village to the outside world, enabling easier movement of goods and people, potentially leading to better employment opportunities and overall development.  
"
